Episode,AvgReward,P1_WinRate,P1_Annihil,P1_Attrit,P2_Annihil,P2_Attrit,DrawRate,AvgSteps,Timestamp
2600,230.87,0.67,0.62,0.05,0.28,0.00,0.05,866.8,2025-11-29T18:29:57.573865
2600,192.89,0.74,0.66,0.08,0.20,0.01,0.05,886.7,2025-11-29T18:40:29.218448
2700,29.30,0.74,0.53,0.21,0.18,0.03,0.05,1054.6,2025-11-29T18:45:29.628524
2600,223.93,0.71,0.69,0.02,0.20,0.03,0.06,859.7,2025-11-29T18:52:47.580150
2700,98.50,0.72,0.53,0.19,0.21,0.00,0.07,915.5,2025-11-29T18:59:15.989627
2800,-83.21,0.71,0.46,0.25,0.09,0.06,0.14,1068.4,2025-11-29T19:04:23.742005
2900,-22.90,0.67,0.46,0.21,0.17,0.06,0.10,1062.2,2025-11-29T19:11:13.400158
3000,-8.44,0.60,0.34,0.26,0.28,0.06,0.06,1022.6,2025-11-29T19:16:41.860305
3100,2.50,0.73,0.47,0.26,0.17,0.05,0.05,1018.4,2025-11-29T19:22:23.442071
3200,-89.46,0.77,0.40,0.37,0.16,0.02,0.05,1103.3,2025-11-29T19:29:20.788383
3300,15.35,0.68,0.46,0.22,0.20,0.05,0.07,1009.7,2025-11-29T19:36:02.705182
3400,-17.99,0.68,0.40,0.28,0.23,0.00,0.09,1054.6,2025-11-29T19:42:51.214331
3500,-9.67,0.62,0.34,0.28,0.30,0.01,0.07,1045.6,2025-11-29T19:48:29.246616
3600,119.23,0.76,0.58,0.18,0.18,0.02,0.04,917.6,2025-11-29T19:53:24.044023
3700,-53.69,0.73,0.47,0.26,0.12,0.04,0.11,1055.9,2025-11-29T19:59:37.108042
3800,88.14,0.75,0.55,0.20,0.18,0.02,0.05,933.1,2025-11-29T20:06:04.909265
3900,71.12,0.73,0.50,0.23,0.21,0.01,0.05,952.9,2025-11-29T20:11:50.029190
4000,160.62,0.58,0.43,0.15,0.34,0.03,0.05,837.1,2025-11-29T20:17:55.448051
4100,-97.53,0.71,0.39,0.32,0.16,0.07,0.06,1099.0,2025-11-29T20:24:52.790364
4200,-31.88,0.74,0.48,0.26,0.15,0.03,0.08,1046.0,2025-11-29T20:30:13.249180
4300,-25.16,0.63,0.43,0.20,0.20,0.07,0.10,1035.5,2025-11-29T20:36:58.830196
4400,-59.48,0.54,0.31,0.23,0.28,0.06,0.12,1076.0,2025-11-29T20:41:27.964824
4500,-66.40,0.65,0.38,0.27,0.19,0.05,0.11,1046.0,2025-11-29T20:46:27.953224
4600,-22.61,0.64,0.40,0.24,0.24,0.06,0.06,1057.4,2025-11-29T20:52:04.440191
4700,-71.92,0.75,0.47,0.28,0.10,0.08,0.07,1070.7,2025-11-29T20:58:21.576226
4800,40.91,0.67,0.50,0.17,0.20,0.05,0.08,1000.5,2025-11-29T21:03:51.746049
4900,10.48,0.81,0.50,0.31,0.15,0.02,0.02,1008.0,2025-11-29T21:10:15.447701
5000,43.59,0.81,0.54,0.27,0.13,0.02,0.04,978.7,2025-11-29T21:15:10.137897
5100,94.69,0.65,0.52,0.13,0.19,0.07,0.09,904.2,2025-11-29T21:21:33.580072
5200,44.37,0.70,0.56,0.14,0.16,0.06,0.08,1016.9,2025-11-29T21:26:48.666168
5300,59.10,0.72,0.54,0.18,0.17,0.09,0.02,974.5,2025-11-29T21:33:24.507205
5400,-24.52,0.60,0.35,0.25,0.26,0.03,0.11,1036.3,2025-11-29T21:39:27.793924
5500,-30.30,0.67,0.48,0.19,0.16,0.05,0.12,1057.7,2025-11-29T21:46:18.567675
5600,30.80,0.56,0.37,0.19,0.31,0.07,0.06,1008.5,2025-11-29T21:51:27.837714
5700,-35.31,0.72,0.44,0.28,0.17,0.05,0.06,1047.3,2025-11-29T21:58:08.953512
5800,2.69,0.58,0.42,0.16,0.23,0.10,0.09,1018.5,2025-11-29T22:04:02.962755
5900,67.40,0.67,0.54,0.13,0.18,0.07,0.08,963.6,2025-11-29T22:10:36.913590
6000,48.66,0.68,0.46,0.22,0.24,0.06,0.02,992.8,2025-11-29T22:17:16.864243
6100,49.09,0.54,0.41,0.13,0.29,0.06,0.11,999.2,2025-11-29T22:22:43.512472
6200,-168.46,0.50,0.30,0.20,0.17,0.15,0.18,1158.1,2025-11-29T22:28:21.605163
6300,-81.25,0.52,0.31,0.21,0.26,0.12,0.10,1120.6,2025-11-29T22:35:22.485688
6400,-95.41,0.64,0.31,0.33,0.25,0.05,0.06,1120.8,2025-11-29T22:40:27.571595
6500,-366.69,0.61,0.11,0.50,0.17,0.14,0.08,1342.6,2025-11-29T22:46:48.897433
6600,-237.76,0.49,0.19,0.30,0.21,0.15,0.15,1229.8,2025-11-29T22:54:10.382171
6700,-296.12,0.66,0.20,0.46,0.15,0.13,0.06,1267.4,2025-11-29T23:01:38.911862
6800,-124.68,0.77,0.40,0.37,0.12,0.05,0.06,1130.5,2025-11-29T23:06:44.328468
6900,-185.47,0.68,0.35,0.33,0.14,0.07,0.11,1221.8,2025-11-29T23:14:02.604361
7000,-122.19,0.52,0.23,0.29,0.28,0.10,0.10,1112.3,2025-11-29T23:21:03.646027
7100,-26.29,0.64,0.44,0.20,0.21,0.04,0.11,1075.7,2025-11-29T23:26:57.572298
7200,148.12,0.68,0.57,0.11,0.25,0.05,0.02,917.7,2025-11-29T23:31:12.701239
7300,-31.60,0.67,0.46,0.21,0.16,0.06,0.11,1056.1,2025-11-29T23:38:02.245441
7400,-78.91,0.69,0.37,0.32,0.18,0.05,0.08,1070.0,2025-11-29T23:44:52.979483
7500,-13.17,0.67,0.40,0.27,0.23,0.05,0.05,1021.9,2025-11-29T23:51:35.871678
7600,-248.97,0.72,0.25,0.47,0.15,0.09,0.04,1233.8,2025-11-29T23:58:55.600670
7700,-150.22,0.77,0.34,0.43,0.16,0.02,0.05,1159.9,2025-11-30T00:06:02.518598
7800,-78.59,0.75,0.42,0.33,0.16,0.02,0.07,1086.1,2025-11-30T00:12:56.642791
7900,-165.06,0.68,0.29,0.39,0.19,0.08,0.05,1172.4,2025-11-30T00:20:06.029272
8000,-124.71,0.66,0.32,0.34,0.22,0.04,0.08,1137.4,2025-11-30T00:25:33.102489
8100,-304.11,0.52,0.24,0.28,0.10,0.22,0.16,1285.8,2025-11-30T00:33:03.377703
8200,-182.17,0.65,0.26,0.39,0.19,0.06,0.10,1164.3,2025-11-30T00:40:12.445538
8300,-123.50,0.57,0.33,0.24,0.20,0.11,0.12,1133.2,2025-11-30T00:45:31.129384
8400,-109.20,0.60,0.31,0.29,0.21,0.07,0.12,1108.6,2025-11-30T00:52:22.655331
8500,-102.47,0.56,0.28,0.28,0.27,0.04,0.13,1115.1,2025-11-30T00:57:42.093845
8600,-65.69,0.62,0.41,0.21,0.16,0.09,0.13,1080.4,2025-11-30T01:04:11.950134
8700,-165.50,0.62,0.31,0.31,0.16,0.13,0.09,1167.3,2025-11-30T01:11:02.248116
8800,-197.11,0.64,0.30,0.34,0.15,0.09,0.12,1183.2,2025-11-30T01:17:04.817312
8900,-142.93,0.54,0.25,0.29,0.25,0.13,0.08,1138.7,2025-11-30T01:22:20.267986
9000,-153.71,0.61,0.29,0.32,0.18,0.17,0.04,1136.0,2025-11-30T01:27:14.908301
9100,-336.67,0.45,0.20,0.25,0.11,0.32,0.12,1287.0,2025-11-30T01:33:41.300682
9200,-121.59,0.62,0.30,0.32,0.22,0.05,0.11,1109.2,2025-11-30T01:38:38.330989
9300,-97.31,0.53,0.27,0.26,0.29,0.11,0.07,1130.8,2025-11-30T01:45:39.430629
9400,-260.19,0.51,0.27,0.24,0.11,0.24,0.14,1224.2,2025-11-30T01:51:22.639568
9500,-265.71,0.43,0.24,0.19,0.11,0.29,0.17,1212.4,2025-11-30T01:57:30.664226
9600,-167.93,0.58,0.27,0.31,0.20,0.10,0.12,1173.3,2025-11-30T02:04:40.409346
9700,56.55,0.65,0.49,0.16,0.22,0.07,0.06,996.6,2025-11-30T02:10:39.896119
9800,-48.02,0.64,0.43,0.21,0.17,0.12,0.07,1072.8,2025-11-30T02:16:32.152217
9900,-93.67,0.64,0.30,0.34,0.21,0.08,0.07,1065.5,2025-11-30T02:23:23.243461
10000,-69.69,0.58,0.35,0.23,0.24,0.07,0.11,1094.0,2025-11-30T02:30:19.126327
10100,-84.62,0.45,0.28,0.17,0.27,0.18,0.10,1077.7,2025-11-30T02:34:53.188742
10200,-189.91,0.60,0.31,0.29,0.14,0.06,0.20,1155.3,2025-11-30T02:41:59.390855
10300,-134.36,0.56,0.24,0.32,0.26,0.05,0.13,1126.2,2025-11-30T02:47:24.647629
10400,-138.26,0.57,0.33,0.24,0.17,0.16,0.10,1129.2,2025-11-30T02:54:26.514397
10500,-116.06,0.69,0.34,0.35,0.19,0.05,0.07,1128.8,2025-11-30T03:01:30.852098
10600,-105.96,0.73,0.40,0.33,0.13,0.08,0.06,1105.9,2025-11-30T03:07:09.797393
10700,-33.30,0.73,0.49,0.24,0.12,0.04,0.11,1035.4,2025-11-30T03:13:55.150664
10800,-44.97,0.57,0.29,0.28,0.28,0.09,0.06,1041.8,2025-11-30T03:19:03.031125
10900,-118.23,0.73,0.42,0.31,0.13,0.05,0.09,1154.3,2025-11-30T03:26:08.943097
11000,-162.53,0.72,0.29,0.43,0.17,0.04,0.07,1132.5,2025-11-30T03:32:12.049639
11100,-83.93,0.76,0.40,0.36,0.17,0.03,0.04,1117.5,2025-11-30T03:39:11.332202
11200,-57.06,0.76,0.40,0.36,0.16,0.04,0.04,1023.3,2025-11-30T03:45:55.050621
11300,-153.66,0.75,0.37,0.38,0.11,0.03,0.11,1125.6,2025-11-30T03:52:12.432604
11400,-59.55,0.66,0.33,0.33,0.24,0.04,0.06,1048.1,2025-11-30T03:59:00.206649
11500,-82.83,0.78,0.38,0.40,0.16,0.00,0.06,1065.3,2025-11-30T04:05:51.732150
11600,-76.38,0.73,0.36,0.37,0.21,0.02,0.04,1090.4,2025-11-30T04:11:52.801882
11700,-102.28,0.73,0.33,0.40,0.18,0.04,0.05,1066.7,2025-11-30T04:16:42.614681
11800,-187.00,0.74,0.29,0.45,0.17,0.04,0.05,1166.6,2025-11-30T04:23:37.853818
11900,-212.03,0.79,0.32,0.47,0.14,0.02,0.05,1202.9,2025-11-30T04:29:08.141773
12000,-100.73,0.69,0.27,0.42,0.25,0.02,0.04,1063.1,2025-11-30T04:34:43.877353
12100,-340.31,0.57,0.21,0.36,0.07,0.29,0.07,1261.4,2025-11-30T04:42:10.793664
12200,-104.71,0.69,0.30,0.39,0.24,0.05,0.02,1094.4,2025-11-30T04:49:08.232112
12300,-183.53,0.72,0.25,0.47,0.19,0.02,0.07,1132.6,2025-11-30T04:54:41.877515
12400,-152.69,0.75,0.33,0.42,0.14,0.04,0.07,1124.4,2025-11-30T05:00:21.346161
12500,-225.22,0.75,0.31,0.44,0.11,0.03,0.11,1187.5,2025-11-30T05:07:35.188680
12600,-146.45,0.62,0.26,0.36,0.23,0.05,0.10,1116.6,2025-11-30T05:14:36.085749
12700,-159.94,0.72,0.34,0.38,0.16,0.02,0.10,1127.6,2025-11-30T05:20:31.612966
12800,-184.26,0.68,0.34,0.34,0.13,0.10,0.09,1176.5,2025-11-30T05:26:36.913248
12900,-117.10,0.71,0.38,0.33,0.16,0.06,0.07,1121.4,2025-11-30T05:31:53.066997
13000,69.20,0.72,0.50,0.22,0.20,0.04,0.04,946.2,2025-11-30T05:36:17.347771
13100,-240.65,0.68,0.26,0.42,0.14,0.05,0.13,1222.5,2025-11-30T05:43:36.535178
13200,-121.56,0.72,0.35,0.37,0.16,0.02,0.10,1112.8,2025-11-30T05:50:36.699672
13300,-162.00,0.72,0.36,0.36,0.11,0.05,0.12,1142.2,2025-11-30T05:55:59.083936
13400,-217.13,0.68,0.26,0.42,0.16,0.05,0.11,1189.5,2025-11-30T06:01:59.545553
13500,-240.46,0.58,0.25,0.33,0.16,0.18,0.08,1214.2,2025-11-30T06:09:18.259209
13600,-221.68,0.77,0.30,0.47,0.12,0.06,0.05,1185.9,2025-11-30T06:16:31.398270
13700,-79.94,0.72,0.41,0.31,0.16,0.05,0.07,1093.3,2025-11-30T06:22:14.654580
13800,-86.00,0.75,0.38,0.37,0.19,0.03,0.03,1102.3,2025-11-30T06:29:12.940394
13900,-77.53,0.73,0.40,0.33,0.16,0.04,0.07,1050.5,2025-11-30T06:36:02.896288
14000,-144.74,0.79,0.33,0.46,0.16,0.03,0.02,1124.2,2025-11-30T06:42:17.762516
14100,-98.86,0.73,0.35,0.38,0.19,0.02,0.06,1090.0,2025-11-30T06:47:29.697773
14200,-192.53,0.76,0.31,0.45,0.13,0.04,0.07,1165.0,2025-11-30T06:53:12.353700
14300,-210.75,0.73,0.28,0.45,0.15,0.05,0.07,1168.2,2025-11-30T06:58:30.026964
14400,-217.27,0.72,0.24,0.48,0.19,0.03,0.06,1201.6,2025-11-30T07:05:43.102145
14500,-234.81,0.81,0.29,0.52,0.12,0.02,0.05,1210.2,2025-11-30T07:11:42.294519
14600,-82.80,0.77,0.40,0.37,0.18,0.02,0.03,1097.2,2025-11-30T07:18:40.274914
14700,-179.42,0.62,0.24,0.38,0.21,0.09,0.08,1154.8,2025-11-30T07:25:47.584216
14800,-202.32,0.63,0.21,0.42,0.23,0.07,0.07,1197.8,2025-11-30T07:32:17.462529
14900,-159.03,0.73,0.33,0.40,0.17,0.06,0.04,1160.0,2025-11-30T07:39:26.198057
15000,-187.38,0.73,0.26,0.47,0.19,0.03,0.05,1158.1,2025-11-30T07:46:35.289923
15100,-104.12,0.73,0.36,0.37,0.18,0.03,0.06,1089.2,2025-11-30T07:53:31.596934
15200,-88.94,0.69,0.33,0.36,0.24,0.02,0.05,1103.7,2025-11-30T07:59:20.749131
15300,-84.07,0.74,0.38,0.36,0.18,0.01,0.07,1088.8,2025-11-30T08:05:20.956845
15400,-114.73,0.62,0.29,0.33,0.24,0.04,0.10,1111.0,2025-11-30T08:10:35.348111
15500,42.28,0.80,0.54,0.26,0.14,0.00,0.06,960.3,2025-11-30T08:16:27.576338
15600,-49.72,0.70,0.47,0.23,0.14,0.05,0.11,1041.2,2025-11-30T08:23:16.363987
15700,-181.37,0.69,0.37,0.32,0.12,0.04,0.15,1164.5,2025-11-30T08:30:26.589627
15800,-190.48,0.63,0.30,0.33,0.16,0.09,0.12,1177.3,2025-11-30T08:37:06.007196
15900,-138.29,0.76,0.35,0.41,0.16,0.05,0.03,1133.0,2025-11-30T08:43:12.432301
16000,-94.44,0.65,0.35,0.30,0.21,0.02,0.12,1076.8,2025-11-30T08:49:11.223398
16100,-223.74,0.64,0.26,0.38,0.15,0.12,0.09,1197.8,2025-11-30T08:56:26.179322
16200,-130.94,0.86,0.48,0.38,0.05,0.03,0.06,1130.0,2025-11-30T09:01:45.616163
16300,-115.97,0.73,0.33,0.40,0.20,0.04,0.03,1106.7,2025-11-30T09:07:05.821596
16400,-540.72,0.48,0.07,0.41,0.04,0.20,0.28,1421.5,2025-11-30T09:14:59.770438
16500,-170.22,0.75,0.35,0.40,0.12,0.07,0.06,1156.3,2025-11-30T09:20:34.401724
16600,-206.59,0.74,0.27,0.47,0.16,0.04,0.06,1184.9,2025-11-30T09:27:47.914002
16700,-133.47,0.69,0.30,0.39,0.20,0.06,0.05,1107.3,2025-11-30T09:34:47.211844
16800,-145.52,0.67,0.32,0.35,0.19,0.09,0.05,1146.6,2025-11-30T09:41:53.876177
